Date,America,Europe,EU,EU15,Other EU,Countries,World,America_norm,Europe_norm,EU_norm,EU15_norm,Other EU_norm,Countries_norm,World_norm
2009-03-31,761000.0,8480000.0,7867000.0,7023000.0,844000.0,2425000.0,11666000.0,0.4098724348308375,0.33685679252462897,0.33430781685706573,0.35443370455978146,0.2045929018789144,0.5071396697902723,0.3695756825527818
2009-06-30,1064000.0,13647000.0,12628000.0,11410000.0,1217000.0,2495000.0,17207000.0,0.5779256794231836,0.5553253562217242,0.548439327156607,0.5848917839882328,0.31583656427080226,0.5227576974564926,0.5601059074341517
2009-09-30,1282000.0,17434000.0,15901000.0,14353000.0,1547000.0,2634000.0,21350000.0,0.6988352745424293,0.7154454357109636,0.6956463074570478,0.7394935910905652,0.4142558902475395,0.5537706381079875,0.7025651605804277
2009-12-31,947000.0,9870000.0,9176000.0,8227000.0,949000.0,2471000.0,13289000.0,0.5130338325013866,0.39562809183544034,0.3931816137447153,0.4176822861945787,0.2359081419624217,0.5174029451137885,0.4253833986658414
2010-03-31,744000.0,8372000.0,7686000.0,6863000.0,824000.0,2720000.0,11836000.0,0.4004437049362174,0.33229038941270983,0.3261671314203472,0.34602857743223364,0.19862809424396063,0.5729585006693441,0.37542122274946704
2010-06-30,1147000.0,13154000.0,12089000.0,10829000.0,1260000.0,2714000.0,17014000.0,0.6239600665557404,0.5344805716460191,0.5241971754969866,0.5543706661063249,0.3286609006859529,0.571619812583668,0.5534695000343856
2010-09-30,1367000.0,17812000.0,16058000.0,14398000.0,1660000.0,3088000.0,22267000.0,0.7459789240155297,0.7314278466026807,0.702707564990555,0.7418575330951881,0.44795705338502834,0.6550647032574743,0.7340966921119593
2010-12-31,1161000.0,9694000.0,9000000.0,8036000.0,964000.0,2675000.0,13530000.0,0.6317249029395452,0.38818654602342395,0.38526580912116576,0.4076486656860685,0.24038174768863704,0.5629183400267738,0.43367031153290697
2011-03-31,771000.0,8549000.0,7868000.0,7009000.0,859000.0,2628000.0,11948000.0,0.4154187465335552,0.3397742167350218,0.33435279301969956,0.35369825593612103,0.20906650760512974,0.5524319500223115,0.37927240217316555
2011-06-30,1278000.0,14415000.0,13280000.0,11888000.0,1392000.0,2838000.0,18530000.0,0.6966167498613423,0.5877975561287049,0.5777637851938473,0.6100021012817819,0.3680286310766478,0.5992860330209728,0.6055979643765903
2011-09-30,1461000.0,18280000.0,16568000.0,14803000.0,1766000.0,3018000.0,22759000.0,0.7981142540210759,0.751215593420997,0.7256454079337951,0.7631330111367934,0.4795705338502833,0.6394466755912539,0.7510143731517778
2011-12-31,1102000.0,10443000.0,9708000.0,8653000.0,1055000.0,2713000.0,14257000.0,0.5990016638935108,0.4198553972347892,0.41710893226589907,0.4400609371716747,0.2675216224276767,0.571396697902722,0.4586685922563785
2012-03-31,770000.0,8680000.0,7909000.0,7013000.0,896000.0,2837000.0,12287000.0,0.41486411536328344,0.34531309458373854,0.3361968156876855,0.35390838411430975,0.22010140172979423,0.5990629183400268,0.3909290970359673
2012-06-30,1147000.0,14129000.0,13067000.0,11755000.0,1312000.0,2737000.0,18012000.0,0.6239600665557404,0.5757050441841782,0.568183862552847,0.6030153393570078,0.3441694005368327,0.5767514502454262,0.5877862595419847
2012-09-30,1296000.0,18308000.0,16772000.0,14889000.0,1883000.0,2763000.0,22367000.0,0.7066001109262341,0.7523994757092723,0.7348205451110911,0.7676507669678504,0.5144646585147629,0.5825524319500223,0.737535245168833
2012-12-31,1002000.0,10587000.0,9856000.0,8787000.0,1070000.0,2603000.0,14193000.0,0.5435385468663338,0.4259439347173481,0.4237654043357021,0.447100231140996,0.27199522815389204,0.5468540829986613,0.45646791829997935
2013-03-31,680000.0,9130000.0,8324000.0,7351000.0,974000.0,2727000.0,12536000.0,0.3649473100388242,0.364339774216735,0.35486192318071424,0.3716642151712545,0.24336415150611393,0.574520303435966,0.3994910941475827
2013-06-30,1148000.0,14462000.0,13388000.0,12077000.0,1311000.0,2865000.0,18476000.0,0.6245146977260122,0.5897847871125956,0.5826212107582981,0.6199306577011977,0.343871160155085,0.605310129406515,0.6037411457258786
2013-09-30,1426000.0,18961000.0,17565000.0,15544000.0,2021000.0,3069000.0,23455000.0,0.778702163061564,0.780009301932265,0.7704866420796977,0.8020592561462492,0.5556218311959439,0.6508255243195002,0.7749467024276184
2013-12-31,1040000.0,10870000.0,10069000.0,8869000.0,1200000.0,2581000.0,14491000.0,0.5646145313366612,0.4379096021309881,0.43334532697670236,0.45140785879386425,0.31076647778109157,0.5419455600178492,0.4667148064094629
2014-03-31,737000.0,9102000.0,8336000.0,7372000.0,964000.0,2784000.0,12623000.0,0.396561286744315,0.3631558919284597,0.35540163713231987,0.3727673881067451,0.24038174768863704,0.5872378402498885,0.4024826353070628
2014-06-30,1169000.0,15253000.0,14211000.0,12729000.0,1482000.0,2975000.0,19397000.0,0.6361619523017193,0.623229461756374,0.6196365926059189,0.6541815507459551,0.39487026543393977,0.6298527443105756,0.635410219379685
2014-09-30,1593000.0,19703000.0,18364000.0,16230000.0,2134000.0,3180000.0,24476000.0,0.8713255684969495,0.8113821825715615,0.8064225960241073,0.8380962387056105,0.5893229943334327,0.6755912539045069,0.8100543291382986
2014-12-31,1250000.0,11687000.0,10930000.0,9579000.0,1351000.0,2770000.0,15707000.0,0.6810870770937326,0.47245359604245063,0.47206980300440765,0.48870561042235766,0.35580077542499255,0.5841142347166444,0.5085276115810466
2015-03-31,744000.0,10043000.0,9237000.0,8092000.0,1145000.0,3047000.0,13833000.0,0.4004437049362174,0.4029427931165701,0.39592515966537734,0.4105904601807102,0.29436325678496866,0.6459170013386881,0.44408912729523414
2015-06-30,1222000.0,16285000.0,15221000.0,13493000.0,1728000.0,3169000.0,20676000.0,0.6655574043261231,0.6668639803813792,0.665062516866061,0.6943160327799958,0.46823739934387115,0.6731369924141009,0.6793893129770993
2015-09-30,1754000.0,21130000.0,19578000.0,17187000.0,2391000.0,3421000.0,26305000.0,0.9606211869107044,0.8717178977633081,0.8610236574615454,0.8883694053372557,0.6659707724425887,0.7293618920124945,0.872945464548518
2015-12-31,1206000.0,12814000.0,11881000.0,10356000.0,1525000.0,2785000.0,16805000.0,0.6566833056017748,0.520104858145533,0.5148421336691553,0.5295230090355116,0.40769460184909034,0.5874609549308345,0.5462829241455196
2016-03-31,856000.0,11149000.0,10258000.0,8741000.0,1517000.0,2968000.0,14972000.0,0.46256239600665555,0.44970614350344595,0.4418458217144913,0.444683757091826,0.40530867879510885,0.6282909415439536,0.48325424661302524
2016-06-30,1328000.0,17386000.0,16454000.0,14320000.0,2134000.0,3073000.0,21787000.0,0.7243483083749307,0.7134159232167773,0.7205181253935414,0.7377600336205085,0.5893229943334327,0.6517179830432842,0.7175916374389657
2016-09-30,1593000.0,22384000.0,21095000.0,18166000.0,2929000.0,3571000.0,27548000.0,0.8713255684969495,0.924738911673925,0.9292524961770262,0.9397982769489388,0.8264240978228452,0.7628290941543954,0.9156866790454576
2016-12-31,1264000.0,13254000.0,12432000.0,10508000.0,1924000.0,2932000.0,17450000.0,0.6888519134775375,0.538708722675574,0.5396239992803814,0.537507879806682,0.5266925141664182,0.6202588130298974,0.5684615913623547
